name	version	platform	artifact	sha256	source_url	status	verified
lean-toolchain	4.32.1	any	lean-toolchain pin	-	https://github.com/leanprover/lean4	active	tag-pinned; no artifact checksum
lfc	0.11.0	macos-aarch64	lf-cli-0.11.0-MacOS-aarch64.tar.gz	284c37c7d73d717156efabc8ed18ed415e8bd19e80d26a3817a19f7eb2980d28	https://github.com/lf-lang/lingua-franca/releases/download/v0.11.0/lf-cli-0.11.0-MacOS-aarch64.tar.gz	active	verified: fresh download; extracted bin/lfc = a8e277076ef578a677fdf7731d95d3ee745e47266ea68d37a673f44bf069cf8a
lfc	0.11.0	linux-x86_64	lf-cli-0.11.0-Linux-x86_64.tar.gz	abb818f7995994340be9733b82c61074f1447385ecf5102eca023a04312343f0	https://github.com/lf-lang/lingua-franca/releases/download/v0.11.0/lf-cli-0.11.0-Linux-x86_64.tar.gz	active	verified: fresh download; extracted bin/lfc = a8e277076ef578a677fdf7731d95d3ee745e47266ea68d37a673f44bf069cf8a (byte-identical Gradle JVM launcher across platforms)
lfc	0.11.0	linux-aarch64	lf-cli-0.11.0-Linux-aarch64.tar.gz	6abfc6c0a40ca6496483093d290426ed3e29b98396c179008922d66f7e59d3d9	https://github.com/lf-lang/lingua-franca/releases/download/v0.11.0/lf-cli-0.11.0-Linux-aarch64.tar.gz	active	verified: fresh download; extracted bin/lfc = a8e277076ef578a677fdf7731d95d3ee745e47266ea68d37a673f44bf069cf8a (byte-identical Gradle JVM launcher across platforms)
lfc	0.11.0	macos-x86_64	lf-cli-0.11.0-MacOS-x86_64.tar.gz	5d474a694c3e5472841c3c65010655c43b8df854e888483a3800810a5edf1e0e	https://github.com/lf-lang/lingua-franca/releases/download/v0.11.0/lf-cli-0.11.0-MacOS-x86_64.tar.gz	active	verified: fresh download; extracted bin/lfc = a8e277076ef578a677fdf7731d95d3ee745e47266ea68d37a673f44bf069cf8a (byte-identical Gradle JVM launcher across platforms)
rmc	2.14	any	rmc-2.14.jar	a39112046d99e0895cf47f890242ace21db896e609f7eef86751a0d416d477f5	https://github.com/rebeca-lang/org.rebecalang.rmc/releases/download/2.14/rmc-2.14.jar	active	verified: fresh download
rebeca-compiler	2.25-94ca579e	any	org.rebecalang.compiler-94ca579e0f2e3528d8de608a9e86316ecb78d608.zip	bd10366acf8d1ed7f392cdd424bfaea5be162cb291f9521ad3d3cfd32be8dcaf	https://github.com/rebeca-lang/org.rebecalang.compiler/archive/94ca579e0f2e3528d8de608a9e86316ecb78d608.zip	active	verified: fresh download
